song_id, valence_mean, valence_std, valence_ max_mean, valence_max_std, valence_min_mean, valence_min_std, arousal_mean, arousal_std, arousal_max_mean, arousal_max_std, arousal_min_mean, arousal_min_std,emotion
2001,3.2,0.98,5.0,1.41,2.2,0.98,6.6,0.8,8.6,0.49,3.4,1.02,Angry
2002,6.4,0.49,8.2,0.98,5.0,1.1,5.2,1.17,7.4,1.36,2.2,1.17,Happy
2003,5.4,1.5,7.2,1.17,3.4,1.02,4.6,1.85,6.2,2.04,1.4,0.49,Relaxed
2004,5.0,1.1,6.4,1.02,3.2,1.17,4.8,1.6,6.0,2.28,2.8,0.98,Angry
2005,3.8,1.17,5.0,1.1,1.6,0.8,5.2,0.75,8.4,0.8,2.0,1.1,Angry
2006,5.0,0.89,5.8,0.98,3.4,1.2,3.2,1.17,4.4,1.36,2.0,0.63,Angry
2007,3.4,0.49,5.0,1.1,2.4,0.8,4.4,1.36,6.2,1.47,2.4,1.02,Sad
2008,5.6,1.02,6.4,0.49,5.0,0.89,3.6,1.74,4.6,1.85,3.0,1.41,Relaxed
2009,5.2,0.98,6.8,1.17,3.8,0.75,4.2,1.94,5.6,2.33,3.2,1.47,Relaxed
2010,6.0,0.89,7.0,0.63,5.0,1.41,4.8,1.6,6.4,1.85,3.8,1.33,Relaxed
2011,4.2,1.6,6.0,1.67,2.8,0.75,5.0,1.41,6.8,0.75,2.4,1.02,Angry
2012,3.17,0.69,4.5,0.5,1.83,0.69,5.17,1.67,7.33,1.7,2.67,1.49,Angry
2013,5.4,0.49,7.2,0.4,3.2,0.75,5.6,1.02,7.6,1.02,2.6,1.62,Happy
2014,3.0,0.63,4.4,1.02,1.8,0.4,6.6,0.8,8.4,0.49,4.2,0.98,Angry
2015,6.6,0.8,7.4,0.8,4.6,0.8,5.4,1.2,6.4,1.2,4.2,1.17,Happy
2016,7.2,0.4,8.0,0.63,6.4,0.49,5.6,2.24,6.4,2.42,4.4,1.85,Happy
2017,6.67,0.47,7.5,0.5,6.0,0.58,6.5,0.76,7.5,0.96,5.0,1.53,Happy
2018,6.5,0.5,7.33,0.47,5.83,1.07,6.33,0.75,7.5,0.96,5.67,0.94,Happy
2019,6.8,0.4,7.0,0.63,5.6,0.8,6.8,0.75,7.4,1.02,5.8,0.75,Happy
2020,6.8,0.4,7.2,0.75,6.2,0.4,5.8,0.4,6.4,0.49,4.4,0.8,Happy
2021,4.2,1.47,5.4,1.2,3.2,1.17,4.4,1.96,5.2,1.83,3.0,1.79,Sad
2022,3.8,0.75,4.6,1.2,2.8,0.75,4.4,1.36,5.6,1.02,2.6,1.2,Sad
2023,5.6,1.02,6.2,0.75,5.0,1.26,3.0,1.26,5.0,1.67,2.4,1.5,Relaxed
2024,6.4,0.8,7.0,0.89,5.6,0.8,4.4,2.33,5.0,2.28,3.6,2.15,Relaxed
2025,6.0,1.41,7.2,1.17,4.6,1.5,4.8,2.32,5.4,2.58,3.2,1.6,Relaxed
2026,5.6,1.02,6.8,0.98,4.4,1.02,4.0,1.9,5.4,2.24,2.8,0.98,Relaxed
2027,5.8,0.98,6.6,1.5,4.6,1.02,5.4,1.36,6.8,1.17,3.8,1.72,Happy
2028,3.4,0.49,5.2,1.47,2.4,0.49,6.2,1.17,8.2,1.17,3.4,1.5,Angry
2029,4.17,1.07,5.5,1.38,3.33,0.94,4.0,1.29,5.17,1.46,3.33,1.6,Sad
2030,4.2,1.47,5.8,1.33,2.6,1.36,6.2,0.75,7.8,0.75,2.4,1.02,Angry
2031,4.6,1.2,4.8,0.98,4.2,1.33,3.4,1.62,4.0,1.79,3.0,1.67,Sad
2032,5.2,0.75,5.8,0.75,4.2,0.4,4.4,1.5,5.6,1.36,3.0,1.26,Relaxed
2033,3.17,0.37,4.67,0.75,1.83,0.37,6.83,0.69,8.33,0.47,4.83,1.07,Angry
2034,6.2,1.33,6.6,1.36,5.2,1.17,4.6,1.74,5.2,1.83,3.8,1.6,Relaxed
2035,3.4,0.8,4.2,1.17,2.6,0.49,4.6,0.8,6.4,0.8,2.6,0.8,Sad
2036,3.83,1.07,4.67,0.75,3.0,1.41,4.67,1.8,5.5,2.06,4.0,1.41,Sad
2037,6.4,0.49,7.0,0.63,5.6,0.49,4.4,1.2,5.4,1.2,3.0,1.79,Relaxed
2038,4.0,1.41,4.6,1.5,3.4,1.2,3.8,1.6,4.8,1.72,3.0,1.41,Sad
2039,5.4,1.2,6.0,1.1,4.4,1.36,4.6,1.62,5.8,0.75,3.2,1.94,Relaxed
2040,3.6,1.85,4.8,1.6,2.2,1.17,7.0,0.63,7.8,0.75,5.4,0.8,Angry
2041,4.4,1.74,5.0,1.79,4.0,1.67,3.0,1.1,4.2,1.47,2.2,0.98,Sad
2042,4.8,0.75,6.2,0.75,3.2,1.17,4.6,1.36,5.6,1.74,2.6,1.02,Sad
2043,5.6,1.02,6.6,1.5,4.4,0.8,4.4,1.36,6.2,1.17,2.8,1.47,Relaxed
2044,6.4,0.49,6.8,0.4,5.4,0.49,5.2,1.47,6.2,1.6,4.0,1.26,Happy
2045,4.8,1.17,5.2,1.47,4.2,0.98,3.2,1.17,4.2,1.6,2.4,1.02,Sad
2046,5.5,0.96,6.83,0.9,4.33,1.11,5.17,1.57,6.67,1.6,3.17,1.21,Happy
2047,6.2,0.4,7.2,0.75,5.6,0.49,5.0,1.26,6.4,1.02,3.4,1.74,Angry
2048,6.2,0.75,6.6,0.8,5.0,1.26,3.6,1.5,4.2,1.47,2.8,1.72,Relaxed
2049,4.4,1.02,5.4,1.02,3.8,1.17,3.8,1.17,4.8,1.47,2.6,1.2,Sad
2050,4.4,0.8,5.0,0.89,3.6,0.8,3.6,1.02,4.4,1.36,2.8,0.75,Sad
2051,3.2,0.4,4.2,0.75,2.6,0.8,4.6,1.36,5.6,1.85,4.0,1.26,Sad
2052,3.2,0.4,4.4,0.49,2.4,0.49,5.2,1.6,6.0,1.9,3.4,1.5,Angry
2053,3.8,0.4,4.4,0.49,3.2,0.75,3.8,1.83,5.2,1.6,2.6,1.2,Sad
2054,5.4,1.2,6.0,1.1,4.4,1.36,3.6,1.36,4.2,1.33,2.4,0.8,Relaxed
2055,5.0,1.41,6.0,1.41,4.2,1.33,5.2,1.47,6.4,1.62,4.0,1.41,Angry
2056,5.0,1.41,5.6,1.62,4.4,1.36,4.6,1.74,5.0,1.79,4.0,1.67,Angry
2057,3.17,1.07,4.5,0.76,2.17,0.9,6.83,0.37,8.17,0.9,4.83,1.46,Angry
2058,3.8,0.75,4.6,0.8,2.8,0.75,5.8,1.17,7.4,0.8,3.8,1.17,Angry
